60;2.000297822;2.660283029;3.460200469;1.670648865
61;1.999623585;2.658857127;3.457293709;1.670219484
62;1.998971517;2.657478565;3.454484821;1.669804163
63;1.998340543;2.656145025;3.451768945;1.669402222
64;1.997729654;2.654854337;3.449141539;1.669013025
65;1.997137908;2.653604469;3.446598352;1.668635976
66;1.996564419;2.652393515;3.444135399;1.668270514
67;1.996008354;2.651219685;3.441748943;1.667916114
68;1.995468931;2.650081299;3.439435477;1.667572281
69;1.994945415;2.648976774;3.437191704;1.667238549
70;1.994437112;2.647904624;3.435014521;1.666914479
71;1.993943368;2.646863444;3.43290101;1.666599658
72;1.993463567;2.645851913;3.430848418;1.666293696
73;1.992997126;2.644868782;3.42885415;1.665996224
74;1.992543495;2.643912872;3.426915755;1.665706893
75;1.992102154;2.642983067;3.425030918;1.665425373
76;1.99167261;2.642078313;3.423197451;1.665151353
77;1.991254395;2.641197611;3.421413282;1.664884537
78;1.990847069;2.640340015;3.41967645;1.664624645
79;1.99045021;2.639504627;3.417985097;1.664371409
80;1.990063421;2.638690596;3.416337458;1.664124579
81;1.989686323;2.637897113;3.414731863;1.663883913
82;1.989318557;2.63712341;3.413166722;1.663649184
83;1.98895978;2.636368757;3.411640525;1.663420175
84;1.988609667;2.635632458;3.410151838;1.663196679
85;1.988267907;2.634913852;3.408699294;1.6629785
86;1.987934206;2.634212309;3.407281594;1.662765449
87;1.987608282;2.633527229;3.405897499;1.662557349
88;1.987289865;2.632858038;3.404545828;1.662354029
89;1.9869787;2.632204191;3.403225456;1.662155326
90;1.986674541;2.631565166;3.401935307;1.661961084
91;1.986377154;2.630940463;3.400674356;1.661771155
92;1.986086317;2.630329608;3.399441624;1.661585397
93;1.985801814;2.629732145;3.398236173;1.661403674
94;1.985523442;2.629147638;3.397057109;1.661225855
95;1.985251004;2.628575671;3.395903573;1.661051817
96;1.984984312;2.628015844;3.394774747;1.66088144
97;1.984723186;2.627467774;3.393669845;1.66071461
98;1.984467455;2.626931096;3.392588114;1.660551217
99;1.984216952;2.626405457;3.391528833;1.660391156
100;1.983971519;2.625890521;3.390491311;1.660234326
101;1.983731003;2.625385965;3.389474884;1.66008063
102;1.983495259;2.624891476;3.388478915;1.659929976
103;1.983264145;2.624406758;3.387502793;1.659782273
104;1.983037526;2.623931523;3.386545931;1.659637437
105;1.982815274;2.623465496;3.385607764;1.659495383
106;1.982597262;2.623008411;3.384687749;1.659356034
107;1.98238337;2.622560015;3.383785366;1.659219312
